Bottle,Average,Low,High
High West Yipp-Ki-Yay Batch 6,287,275,305
High West Yipp-Ki-Yay Batch 8,269,260,290
High West Yipp-Ki-Yay Batch 9,250,250,250
High West Yipp-Ki-Yay Batch 10,280,280,280
High West Yipp-Ki-Yay Batch 11,250,250,250
High West Yipp-Ki-Yay Batch 12,250,250,250
High West Yipp-Ki-Yay Batch 18,267,250,275
High West Yipp-Ki-Yay Batch 19,282,265,290
Hirsch 6 Year Single Barrel,245,220,270
Hirsch 7.5 Year Selected Whiskies Cask Strength,233,200,250
Hirsch 8 Year Single Barrel,225,225,225
Hirsch Cask Strength Cognac,250,250,250
Hirsch Reserve 16 Year (foil),3355,2500,3750
Hirsch Reserve 16 Year (gold wax),5500,5000,6000
Hirsch Selection 22 Year Rye,1800,1600,2000
Hirsch Selection 25 Year Rye,1667,1500,1750
Hirsch Special Reserve 20 Year,300,300,300
Hirsch The Single Barrel,145,140,150
Hirsch The Single Barrel Double Oak,170,130,220
Hirsch 28,3000,3000,3000
Hirsch High Rye Single Barrel,148,120,175
Good Times Cigar Finish,150,150,150
I.W. Harper 12 Year,325,325,325
I.W. Harper 15 Year,124,90,160
I.W. Harper Cabernet Cask,85,85,85
Isaac Bowman Port Finish,90,90,90
Jack Daniels 10 Year,170,150,195
Jack Daniels 12 Year,254,230,285
Jack Daniels 150th,425,425,425
Jack Daniels 160th,261,180,350
Jack Daniels 1954 Gold Medal,450,450,450
Jack Daniels Barrel Proof Master Distiller Pick,75,75,75
Jack Daniels Special Release Barrel Proof Rye,423,350,500
Jack Daniels Coy Hill,530,450,600
Jack Daniels Coy Hill (hazmat),703,600,750
Jack Daniels Coy Hill Small Batch,1250,750,1500
Jack Daniels Distillery Series Toasted,120,120,120
Jack Daniels Eric Church,249,225,400
Jack Daniels Heritage,405,350,525
Jack Daniels Heros Selection,121,100,140
Jack Daniels Master Distiller No. 2,140,130,150
Jack Daniels McLXJD,89,80,100
Jack Daniels Monogram,700,700,700
Jack Daniels Red Door,75,75,75
Jack Daniels Sinatra,181,160,200
Jack Daniels Sinatra Century,1400,1400,1400
Jack Daniels Single Barrel Barrel Proof,55,50,60
Jack Daniels Single Barrel Barrel Proof Rye,170,115,220
Jack Daniels Twice Barreled,192,175,220
Jack Daniels Twice Barreled Rye,293,250,325
Jeffersons Chefs Collaboration,75,75,75
Jeffersons Marian McLaine,288,250,350
Jeffersons Presidential Bourbon 1,450,450,450
Jeffersons Presidential Bourbon 2,800,800,800
Jeffersons Presidential Bourbon 8,1100,1100,1100
Jeffersons Presidential Bourbon 9,1100,700,1300
Jeffersons Presidential Bourbon 11,1200,1200,1200
Jeffersons Presidential Bourbon 16,403,400,405
Jeffersons Presidential Bourbon 20,663,625,700
Jeffersons Presidential Bourbon 21,819,700,950
Jeffersons Presidential Bourbon 27,1070,1070,1070
Jeffersons Presidential Bourbon 28,900,900,900
Jeffersons Presidential Rye 21,800,800,800
Jeffersons Presidential Rye 25,1000,1000,1000
Jeffersons Reserve Groth Cask,250,250,250
Jeffersons Reserve Single Barrel SP,93,90,95
Jim Beam Distillers Masterpiece,375,250,500
Jim Beam Lineage 15 Year,388,350,450
Jim Beam Signature 12 Year,150,150,150
John E. Fitzgerald Very Special Reserve (20 Year),2117,1800,2300
John J. Bowman Single Barrel,91,85,100
John J. Bowman Single Barrel Distillers Select,162,125,180
Joseph Magnus,105,90,120
Joseph Magnus Blanchards Single Barrel SP,270,265,275
Joseph Magnus Cigar Blend,259,230,350
Joseph Magnus Murray Hill Club,131,105,190
"Joseph Magnus Murray Hill Club Special Release, Cider and Malt",475,450,500
"Joseph Magnus Murray Hill Club Special Release, Pineau Des Charentes",675,600,750
Joseph Magnus Private Barrel,250,250,250
Joseph Magnus Reserve 16 Year,2200,2200,2200
Joseph Magnus Sherry Cask,275,275,275
J.P. Wiser's 22 Year BiB,150,150,150
Kentucky Owl Batch 1,2000,2000,2000
Kentucky Owl Batch 2,1100,900,1400
Kentucky Owl Batch 6,550,550,550
Kentucky Owl Batch 7,475,450,500
Kentucky Owl Batch 8,360,300,450
Kentucky Owl Batch 9,400,350,475
Kentucky Owl Batch 10,299,250,385
Kentucky Owl Batch 11,294,220,385
Kentucky Owl Batch 12,350,350,350
Kentucky Owl Confiscated,120,95,165
Kentucky Owl Dry State,1600,1300,1900
Kentucky Owl Rye Batch 1,330,250,375
Kentucky Owl Rye Batch 2,232,200,250
Kentucky Owl Rye Batch 3,233,150,300
Kentucky Owl Rye Batch 4,250,180,350
Kentucky Owl St. Patricks,123,100,175
Kentucky Owl Takumi,145,100,195
Kiamichi 5 Year Rye,235,180,300
Kiamichi 8 Year Rye,311,225,350
Kiamichi 19 Year Bourbon,1825,1550,2100
King of Kentucky 18 Year,4700,4350,5400
King of Kentucky Single Barrel 2018,2500,2200,2800
King of Kentucky Single Barrel 2019,2482,2100,2800
King of Kentucky Single Barrel 2020,2104,1795,2400
King of Kentucky Single Barrel 2021,1845,1500,2200
King of Kentucky Single Barrel 2022,1555,1400,1750
Kings County Barrel Strength,203,150,250
Kings County Blenders Reserve,288,275,300
Kings County Eaves Blind,180,180,180
Kings County Diamond Hands,1500,1500,1500
King's Family Distillery Single Barrel 14 Year,135,110,160
King's Family Distillery Single Barrel 15 Year ALW,199,160,250
King's Family Distillery Honey Cask,147,140,150
King's Family Distillery Wheated,70,70,70
Knob Creek 12 Year,89,65,100
Knob Creek 18 Year,240,220,270
Knob Creek 15th,140,130,150
Knob Creek 2001,215,200,250
Knob Creek 25th,244,170,275
Knob Creek 9 Year,80,60,90
Knob Creek Belmont Stakes,140,140,140
Larceny Barrel Proof,90,75,115
Larceny Single Barrel,40,40,40
Legent Yamazaki,475,400,600
Lock Stock & Barrel 12,250,250,250
Lock Stock & Barrel 13,268,260,275
Lock Stock & Barrel 18,250,250,250
Lock Stock & Barrel 20,365,345,375
Lock Stock & Barrel 21,423,300,545
Lorely 16 Year,360,275,450
Lucky Seven 12 Year (The Hold Up),188,150,240
Lucky Seven 14 Year (The Hold Up),180,180,180
Lucky Seven 14 Year (The Proprietor),249,200,290
Lucky Seven 15 Year (The Proprietor),296,250,330
Lucky Seven Frenchman,126,100,150
Lucky Seven The Holiday Toast,102,95,112
Lux Row 12 Year,264,230,300
Maker's Mark Cellar Aged,390,350,425
Maker's Mark Limited Release BEP,99,80,110
Maker's Mark Limited Release BRT-01,109,100,150
Maker's Mark Limited Release BRT-02,100,80,110
Maker's Mark Limited Release FAE-01,114,100,125
Maker's Mark Limited Release FAE-02,95,80,120
Maker's Mark Limited Release RC-16,165,165,165
Maker's Mark Limited Release SE4-PR5,133,120,150
Mayor Pingree 5 Year,160,160,160
Mayor Pingree 6 Year,130,130,130
Mayor Pingree 6 Year Rye,180,135,225
Mayor Pingree 7 Year,158,110,210
Mayor Pingree 7 Year Black Label,550,550,550
Mayor Pingree 8 Year Blue Label,400,400,400
Mayor Pingree 8 Year Black Label,300,300,300
Mayor Pingree 9 Year Black Label,925,925,925
Mayor Pingree 10 Year Blue Label,525,525,525
Mayor Pingree 11 Year Black Label,650,650,650
Mayor Pingree 11 Year Blue Label,585,575,595
Mayor Pingree 12 Year Blue Label,670,670,670
Mayor Pingree 13 Year Black Label,600,600,600
Mayor Pingree 15 Year Black Label,658,550,750
Mic Drop L19-01 4 Year,158,140,175
Mic Drop L20-01 4 Year,175,175,175
Mic Drop L22-01 7 Year,764,500,950
Mic Drop 2,8500,8500,8500
Michters 10 year Bourbon,344,320,370
Michters 10 year Rye,287,250,330
Michters 15 year Bourbon,9625,7000,12000
Michters 20 year Bourbon (2013),15750,15500,16000
Michters 20 year Bourbon (2014),9050,7800,10000
Michters 20 year Bourbon (2015),7300,6500,8000
Michters 20 year Bourbon (2016),5420,4650,6000
Michters 20 year Bourbon (2018),5641,4500,7000
Michters 20 year Bourbon (2019),4736,4400,5200
Michters 20 year Bourbon (2021),4045,3800,4500
Michters 20 year Bourbon (2022),4095,3700,4500
Michters 25 (2017),7210,4300,10500
Michters 25 (2020),7500,7000,8000
Michters 25 Rye (2013),29500,27500,31000
Michters Barrel Strength Bourbon,294,265,335
Michters Barrel Strength Rye,193,175,210
Michters Celebration Batch 2 (2016),21000,21000,21000
Michters Celebration (2019),18500,18500,18500
Michters Celebration (2022),14000,14000,14000
Michters Fort Nelson Reserve,342,285,400
Michters Sour Mash,58,50,70
Michters Toasted Barrel Bourbon,306,275,400
Michters Toasted Barrel Rye,315,225,350
Michters Toasted Sour Mash,208,180,235
Mister Sam Batch 1 (2019),2784,2500,3500
Mister Sam Batch 2 (2021),1691,1400,1800
Mount Vernon 14 Year Rye Batch 1,313,265,350
Murray Hill Club Special Release Batch 3,450,450,450
Nashville Barrel Company 8 Year Honey,450,450,450
Nashville Barrel Company Founders 2,235,235,235
Nashville Barrel Company Founders 3,235,235,235
Nashville Barrel Company Founders 4,235,235,235
Nashville Barrel Company Single Barrel Bourbon,150,150,150
Nashville Barrel Company Single Barrel 6 Year Rye,220,200,240
Nelson Bros 15 Year Rye,600,600,600
Nelson Bros Black Brier,225,225,225
Nelson Bros Honey Cask,258,230,300
Nelson Bros Mourvedre Cask,145,145,145
New England Barrel Company 7 Year,102,80,130
New England Barrel Company 13.5 Year Rye,150,150,150
New Riff 15 Year,658,650,675
New Riff 6yr Malted Rye,103,65,200
New Riff Balboa Rye,75,60,95
New Riff Blue Clarage,120,120,120
New Riff High Note Balboa Single Barrel,160,160,160
New Riff Red Turkey,203,190,215
New Riff Sherry Finish Malted Rye,133,110,155
New Riff Single Barrel,80,70,90
New Riff Winter Whiskey,125,125,125
New Riff Yellow Leaming,120,120,120
Noahs Mill,70,50,90
NULU Toasted Rye 6 Year SP,128,105,165
NULU Toasted Straight Bourbon,100,100,100
Obtanium Light,134,115,175
OKI 5 Year,93,90,95
OKI 6 Year,127,110,140
OKI 9 Year Antique,1100,1100,1100
OKI 10 Year,488,400,600
OKI 12 Year,511,375,750
OKI Apple/Brandy 10 Year,818,725,900
OKI Reserve,100,90,115
OKI Sherry/Brandy 10 Year,754,665,850
OKI Single Barrel Rye,108,100,125
Old Carter 1-CA,450,425,475
Old Carter 1-GA,456,425,475
Old Carter 1-KY,447,370,525
Old Carter 1-LA,500,500,500
Old Carter 1-TN,383,300,450
Old Carter 2-CA,438,425,450
Old Carter 2-GA,400,375,425
Old Carter 2-KY,349,325,360
Old Carter 2-LA,365,320,450
Old Carter 2-NY/NJ,250,250,250
Old Carter 2-OC,350,350,350
Old Carter 2-PLDC,433,375,455
Old Carter 2-TN,315,315,315
Old Carter 3-CA,364,280,450
Old Carter 3-GA,326,290,350
Old Carter 3-LA,329,300,375
Old Carter 3-KY,332,295,375
Old Carter 3-NY/NJ,307,300,320
Old Carter 3-OC,363,325,400
Old Carter 3-PLDC,353,270,455
Old Carter American Whiskey 13 Year,575,525,600
Old Carter American Whiskey 14 Year,625,550,850
Old Carter American Whiskey 16 Year,711,670,750
Old Carter American Whiskey B1,646,475,850
Old Carter American Whiskey B2,650,575,800
Old Carter American Whiskey B3,549,500,700
Old Carter American Whiskey B4,521,475,575
Old Carter American Whiskey B5,460,400,500
Old Carter American Whiskey B6,447,375,525
Old Carter American Whiskey B7,395,345,435
Old Carter American Whiskey B8,438,375,525
Old Carter American Whiskey B9,351,290,450
Old Carter American Whiskey B10,322,250,425
Old Carter American Whiskey B11,313,300,350
Old Carter American Whiskey B12,309,300,350
Old Carter Bourbon B1,647,450,800
Old Carter Bourbon B2,539,350,700
Old Carter Bourbon B3,467,350,600
Old Carter Bourbon B4,500,475,550
Old Carter Bourbon B5,997,850,1200
Old Carter Bourbon B6,439,325,500
Old Carter Bourbon B7,431,325,575
Old Carter Bourbon B8,413,350,475
Old Carter Bourbon B9,414,340,450
Old Carter Bourbon B10,390,325,450
Old Carter Bourbon B11,354,315,400
Old Carter Bourbon B12,348,325,385
Old Carter Bourbon B14,422,375,460
Old Carter Barrel 13,608,600,625
Old Carter Derby,492,425,600
Old Carter Kentucky B1,417,350,500
Old Carter Kentucky B2,344,300,400
Old Carter Kentucky B3,343,300,410
Old Carter Rye B1,500,500,500
Old Carter Rye B2,455,300,525
Old Carter Rye B3,398,350,475
Old Carter Rye B4,400,400,400
Old Carter Rye B5,364,325,425
Old Carter Rye B6,339,300,400
Old Carter Rye B7,335,250,380
Old Carter Rye B8,361,300,400
Old Carter Rye B9,320,300,350
Old Carter Rye B10,326,300,400
Old Charter Oak Canadian Oak,375,375,375
Old Charter Oak Chinkapin Oak,544,400,650
Old Charter Oak French Oak,268,190,425
Old Charter Oak Mongolian Oak,1876,1325,2630
Old Elk,127,80,150
Old Elk Double Wheat,105,100,110
Old Elk Cigar,160,150,170
Old Elk Four Grain,100,100,100
Old Elk Infinity Blend,148,125,170
Old Elk Sour Mash Reserve,100,100,100
Old Elk Wheated,78,60,90
Old Ezra 7,79,65,90
Old Ezra 7 Rye,98,80,115
Old Ezra 15 Year,475,350,750
Old Fashioned Copper 1983,25000,25000,25000
Old Fashioned Copper 1993,6000,6000,6000
Old Fashioned Copper 1994,4350,4200,4450
Old Fashioned Copper 1995,3983,3800,4200
Old Fashioned Copper 1996,4200,4200,4200
Old Fitzgerald 8,376,325,400
Old Fitzgerald 9,431,400,450
Old Fitzgerald 11,461,390,550
Old Fitzgerald 13,504,390,575
Old Fitzgerald 14,565,550,600
Old Fitzgerald 15,594,550,650
Old Fitzgerald 16,684,620,800
Old Fitzgerald 17,705,650,775
Old Fitzgerald 19,684,650,750
Old Forester The 117 Series (1910 Extra Old),176,135,250
Old Forester The 117 Series (Bottled in Bond),180,150,220
Old Forester The 117 Series (High Angles Share B1),263,235,300
Old Forester The 117 Series (High Angles Share B2),229,200,250
Old Forester The 117 Series (Warehouse H),146,100,185
Old Forester The 117 Series (Warehouse K),217,175,250
Old Forester The 117 Series (Whiskey Row Fire),234,200,250
Old Forester 125th Employee Release,3000,3000,3000
Old Forester 150th Anniversary Batch 1,374,290,410
Old Forester 150th Anniversary Batch 2,400,350,450
Old Forester 150th Anniversary Batch 3,377,290,400
Old Forester 1910,60,60,60
Old Forester 1920,60,60,60
Old Forester Barrel Reserve 96' Olympics,617,450,800
Old Forester Birthday Bourbon (2003),2500,2000,3000
Old Forester Birthday Bourbon (2004),1750,1750,1750
Old Forester Birthday Bourbon (2005),1900,1900,1900
Old Forester Birthday Bourbon (2006),1930,1700,2400
Old Forester Birthday Bourbon (2007),1900,1800,2000
Old Forester Birthday Bourbon (2009),1550,1550,1550
Old Forester Birthday Bourbon (2010),1500,1500,1500
Old Forester Birthday Bourbon (2012),1306,1100,1500
Old Forester Birthday Bourbon (2013),1391,1100,1650
Old Forester Birthday Bourbon (2014),1173,1000,1350
Old Forester Birthday Bourbon (2015),1125,900,1350
Old Forester Birthday Bourbon (2016),1004,875,1200
Old Forester Birthday Bourbon (2017),936,850,1000
Old Forester Birthday Bourbon (2018),882,775,950
Old Forester Birthday Bourbon (2019),857,800,930
Old Forester Birthday Bourbon (2020),811,740,900
Old Forester Birthday Bourbon (2021),834,775,900
Old Forester Birthday Bourbon (2022),770,740,825
Old Forester King Ranch,139,110,180
Old Forester Presidents Choice (#9),1125,1125,1125
Old Forester Presidents Choice (#10),900,900,900
Old Forester Presidents Choice (#11),825,825,825
Old Forester Presidents Choice (#13),1100,1100,1100
Old Forester Presidents Choice (#14),725,725,725
Old Forester Presidents Choice (#16),825,825,825
Old Forester Presidents Choice (#17),700,700,700
Old Forester Presidents Choice (#20),850,850,850
Old Forester Presidents Choice (#22),800,800,800
Old Forester Presidents Choice (#23),825,825,825
Old Forester Presidents Choice (#25),800,800,800
Old Forester Presidents Choice (#27),822,750,900
Old Forester Presidents Choice (#30),900,900,900
Old Forester Single Barrel,118,100,130
Old Forester Single Barrel Barrel Strength,140,125,175
Old Forester Single Barrel Barrel Strength Rye,204,125,255
Old Forester Statesman,60,60,60
Old Kirk SP,191,175,240
Old Pepper 10 Year Bourbon,250,250,250
Old Pepper 11 Year Bourbon,300,300,300
Old Pepper Toasted Barrel Proof,150,150,150
Old Rip Van Winkle,756,725,810
Old Rip Van Winkle 23,24250,22000,26500
Old Rip Van Winkle 25,42500,42500,42500
Orphan Barrel Barterhouse,410,300,475
Orphan Barrel Castles Curse,252,240,265
Orphan Barrel Copper Tongue,181,130,230
Orphan Barrel Fable and Folly,187,175,250
Orphan Barrel Foragers Keep,375,350,400
Orphan Barrel Forged Oak,252,200,300
Orphan Barrel The Gifted Horse,351,300,425
Orphan Barrel Lost Prophet,854,700,1450
Orphan Barrel Muckety Muck,263,250,290
Orphan Barrel Old Blowhard,867,825,900
Orphan Barrel Rhetoric 20,356,310,450
Orphan Barrel Rhetoric 21,389,325,500
Orphan Barrel Rhetoric 22,332,300,395
Orphan Barrel Rhetoric 23,344,325,370
Orphan Barrel Rhetoric 24,340,320,375
Orphan Barrel Rhetoric 25,363,290,450
Orphan Barrel Scarlet Shade Rye,261,225,315
Orphan Barrel Whoop and Holler,1000,1000,1000
Pappy Van Winkle 15 year (2007),3000,3000,3000
Pappy Van Winkle 15 year (2008),3025,2850,3250
Pappy Van Winkle 15 year (2011),2000,2000,2000
Pappy Van Winkle 15 year (2012),2444,2100,2850
Pappy Van Winkle 15 year (2013),2383,2300,2500
Pappy Van Winkle 15 year (2014),2050,1950,2300
Pappy Van Winkle 15 year (2015),2256,1950,2500
Pappy Van Winkle 15 year (2016),2250,2100,2400
Pappy Van Winkle 15 year (2017),2689,2300,3100
Pappy Van Winkle 15 year (2018),2110,1800,2600
Pappy Van Winkle 15 year (2019),2105,1550,2400
Pappy Van Winkle 15 year (2020),2023,1700,2300
Pappy Van Winkle 15 year (2021),2127,1800,2350
Pappy Van Winkle 15 year (2022),1770,1700,1850
Pappy Van Winkle 20 Year (1996),10000,10000,10000
Pappy Van Winkle 20 Year (2001) Lburg green glass,5200,5200,5200
Pappy Van Winkle 20 Year (2006),4250,4250,4250
Pappy Van Winkle 20 Year (2007),3400,3400,3400
Pappy Van Winkle 20 Year (2008),4100,4100,4100
Pappy Van Winkle 20 Year (2011),3440,3200,3750
Pappy Van Winkle 20 Year (2012),3500,3300,3700
Pappy Van Winkle 20 Year (2013),3080,2750,3500
Pappy Van Winkle 20 Year (2014),3319,3030,3500
Pappy Van Winkle 20 Year (2015),3060,2800,3400
Pappy Van Winkle 20 Year (2016),3025,2850,3150
Pappy Van Winkle 20 Year (2017),3240,2900,3500
Pappy Van Winkle 20 Year (2018),3075,3000,3250
Pappy Van Winkle 20 Year (2019),2975,2800,3150
Pappy Van Winkle 20 Year (2020),3300,3200,3500
Pappy Van Winkle 20 Year (2021),3089,2850,3750
Pappy Van Winkle 20 Year (2022),2875,2750,3100
Pappy Van Winkle 23 Year (1998),15000,15000,15000
Pappy Van Winkle 23 Year (2004),10500,10000,11000
Pappy Van Winkle 23 Year (2005),8833,8500,9500
Pappy Van Winkle 23 Year (2006),5350,5350,5350
Pappy Van Winkle 23 Year (2008),5650,5500,5800
Pappy Van Winkle 23 Year (2013),4925,4900,4950
Pappy Van Winkle 23 Year (2014),4860,4600,5100
Pappy Van Winkle 23 Year (2016),4667,4500,4750
Pappy Van Winkle 23 Year (2017),4090,4000,4300
Pappy Van Winkle 23 Year (2018),4250,4250,4250
Pappy Van Winkle 23 Year (2021),4400,4400,4400
Pappy Van Winkle 23 Year (2022),4182,3900,4400
Pappy Van Winkle Lot B (first edition),4000,4000,4000
Pappy Van Winkle Lot B,838,800,900
Parkers Heritage 01 (2007) Cask Strength,3238,2900,3500
Parkers Heritage 02 (2008) 27-Year-Old,3500,3250,3750
Parkers Heritage 03 (2009) Golden Anniversary,3500,3500,3500
Parkers Heritage 04 (2010) Wheated Bourbon,2081,1900,2400
Parkers Heritage 05 (2011) Cognac Finish,1108,950,1200
Parkers Heritage 06 (2012) Blend of Mashbills,1200,1100,1400
Parkers Heritage 07 (2013) Promise of Hope,1359,1100,1500
Parkers Heritage 08 (2014) Original Batch Wheat Whiskey,872,750,950
Parkers Heritage 09 (2015) Malt Whiskey,340,320,375
Parkers Heritage 10 (2016) 24 Year BiB,916,800,1100
Parkers Heritage 11 (2017) 11 Year SiB,633,550,750
Parkers Heritage 12 (2018) Orang Curacao,283,240,320
Parkers Heritage 13 (2019) Heavy Char Rye,439,425,485
Parkers Heritage 14 (2020) Heavy Char Bourbon,628,600,675
Parkers Heritage 15 (2021) Heavy Char Wheat Whiskey,591,550,650
Parkers Heritage 16 (2022) Double Barreled Blend,551,520,600
Peerless Double Oaked,127,110,160
Peerless Double Oaked Rye,176,150,225
Peerless High Rye,175,175,175
Peerless Single Barrel SP,114,75,150
Pendleton 20 Year,250,250,250
Penelope American Light Whiskey,159,135,200
Penelope 13 Year,170,165,175
Penelope Architect Build 1,88,60,120
Penelope Architect Build 2,85,70,100
Penelope Architect Build 3,85,85,85
Penelope Architect Build 5,90,90,90
Penelope Barrel Strength,79,65,95
Penelope Rio,294,250,310
Penelope Rose Cask,94,70,105
Penelope Toasted Barrel Strength,82,65,115
Penelope Tokaji Cask,127,85,175
Penelope Valencia,151,120,175
Pinhook 5 Year,80,80,80
Pinhook 7 Year,90,90,90
Pinhook 10 Year Collaboration Series,380,360,400
Pinhook Accidental Marriage,725,700,750
Pinhook Artist,170,170,170
Pinhook Georgia Small Batch,70,70,70
Pinhook High Proof,55,55,55
Pinhook Whiskey Nicking,145,140,150
Prideful Goat 6 Year Rye,105,100,110
Prideful Goat 15 Year Rye,238,195,275
Rabbit Hole Boxergrail,546,350,1300
Rabbit Hole Boxergrail Rye,348,145,550
Rabbit Hole Dareringer,480,480,480
Rabbit Hole Mizunara,1480,1300,1600
Rabbit Hole Nevallier,1173,975,1600
Rabbit Hole Raceking,453,400,500
Rabbit Hole Single Barrel Cask Strength,211,165,250
Rare Character Exceptional Series 8 Year Malt,242,225,250
Rare Character Exceptional Series 9 Year 6 months,256,250,275
Rare Character Exceptional Series 11 Year 8 months,276,250,325
Rare Character Exceptional Series 14 Year 5 months,425,400,450
Rare Hare 1953 Anniversary,698,695,700
Rare Perfection 14 Year,165,150,180
Rare Perfection 15 Year,173,150,220
Rebecca Creek 12 Year,175,175,175
Rebecca Creek 16 Year,326,285,375
Rebecca Creek 16 Year Hazmat,469,450,475
Rebecca Creek Spanish Oak,89,80,105
Rebel 10 Year,118,95,150
Rebel 12 Year,440,440,440
Rebel Cask Strength Single Barrel,90,90,90
Redemption 7 Year Rye,233,165,300
Redemption 8 Year Rye,300,300,300
Redemption 9,135,90,175
Redemption 9 Year High Rye B1,215,215,215
Redemption 9 Year High Rye B2,213,200,225
Redemption 10 Year Rye,181,140,220
Redemption 10 Year Barrel Proof Rye,425,425,425
Redemption 18,1680,1500,1800
Redemption Barrel Proof,178,175,180
Redwood Empire 12 Year Chardonnay,180,180,180
Redwood Empire 12 Year Zinfandel,250,250,250
Redwood Empire 14 Year Apple Brandy Finish,330,330,330
Redwood Empire 14 Year Cabernet Saugignon Cask,275,250,350
Redwood Empire 14 Year Chardonnay Cask,260,260,260
Redwood Empire 14 Year Port Finish,254,220,305
Redwood Empire 14 Year Haystack Needle,363,275,425
Redwood Empire 15 Year Haystack Needle,362,300,475
Redwood Empire Emerald Giant Cask Strength,95,95,95
Redwood Empire Grizzly Beast,118,110,125
Redwood Empire Lost Monarch,100,100,100
Redwood Empire Pipe Dream Cask Strength,110,110,110
Redwood Empire Rocket Top Rye BiB,105,100,110
Remus Gatsby Reserve,308,275,325
Remus Repeal I,219,175,250
Remus Repeal II,201,165,245
Remus Repeal III,212,165,275
Remus Repeal IV,160,125,180
Remus Repeal V,165,110,200
Remus Repeal VI,122,100,150
Remus Repeal VII,140,140,140
Remus Repeal Reserve,175,175,175
Remus Special Reserve,125,125,125
Remus Volstead Reserve,406,375,430
Rittenhouse 21 Year Rye,2517,2200,2800
Rittenhouse 23 Year Rye,2771,2350,3000
Rittenhouse 25 Year Rye,2500,2500,2500
Rock Hill Farms,350,290,375
Rock Hill Farms SP,1700,1700,1700
Rowans Creek,55,55,55
Russell's Reserve 13,303,280,330
Russell's Reserve 1998,2067,1950,2200
Russell's Reserve 2002,1006,950,1100
Russell's Reserve 2003,775,700,850
Russell's Reserve 6 Year Rye,125,125,125
Russell's Reserve Single Barrel Bourbon SP,124,100,200
Russell's Reserve Single Barrel Rye,110,95,125
Russell's Reserve Single Rickhouse Camp Nelson C,392,380,400
Russell's Reserve Single Rickhouse Camp Nelson F,523,500,550
"Saint Cloud 7 Year Barrel Proof ""Minotaur""",175,175,175
Sam Houston 14 Year,123,100,140
Sam Houston 15 Year,166,125,200
Sazerac 18 (2001),3283,3000,3500
Sazerac 18 (2004),2250,2250,2250
Sazerac 18 (2005),2500,2500,2500
Sazerac 18 (2006),1895,1895,1895
Sazerac 18 (2007),2000,2000,2000
Sazerac 18 (2008),2100,2100,2100
Sazerac 18 (2010),1727,1580,1850
Sazerac 18 (2011),1785,1685,1850
Sazerac 18 (2012),1650,1400,1800
Sazerac 18 (2013),1838,1775,2000
Sazerac 18 (2014),1683,1600,1750
Sazerac 18 (2015),1677,1500,1800
Sazerac 18 (2016),1553,1400,1750
Sazerac 18 (2017),1571,1500,1650
Sazerac 18 (2018),1470,1300,1750
Sazerac 18 (2019),1625,1450,1750
Sazerac 18 (2020),1455,1300,1700
Sazerac 18 (2021),1416,1225,1600
Sazerac 18 (2022),1416,1300,1500
Shenks,174,155,200
Sherbrook 14 Year Barrel Proof Rye,288,225,315
Sherwood Rye,298,290,305
Single Oak Project Barrel #28,300,300,300
Single Oak Project Barrel #52,325,325,325
Single Oak Project Barrel #11,275,275,275
Single Oak Project Barrel #30,300,300,300
Single Oak Project Barrel #39,240,240,240
Single Oak Project Barrel #52,315,315,315
Single Oak Project Barrel #54,325,325,325
Single Oak Project Barrel #69,325,325,325
Single Oak Project Barrel #71,325,325,325
Single Oak Project Barrel #74,300,300,300
Single Oak Project Barrel #79,275,275,275
Single Oak Project Barrel #122,275,275,275
Single Oak Project Barrel #135,283,260,325
Single Oak Project Barrel #143,250,250,250
Single Oak Project Barrel #163,250,250,250
Single Oak Project Barrel #178,275,275,275
Smokewagon Bottled-in-Bond Rye,118,110,125
Smokewagon Desert Jewel,711,675,800
Smokewagon Experimental Rye Char C,408,350,475
Smokewagon Experimental Rye Char D,395,300,475
Smokewagon Experimental Rye Char E,394,325,475
Smokewagon Experimental Rye Char F,404,325,500
Smokewagon Malted Rye,125,125,125
Smokewagon Private Barrel,619,425,850
Smokewagon Rare and Limited Batch 1 Batch,711,600,800
Smokewagon Rare and Limited Caramel Yum Yum,4750,4750,4750
Smokewagon Rare and Limited Choco Treat,1400,1400,1400
Smokewagon Rare and Limited Elevator Batch,783,750,800
Smokewagon Rare and Limited Fred's Blend,1390,1200,1600
Smokewagon Rare and Limited Magnum's,571,500,700
Smokewagon Rare and Limited Phoenix City,1000,1000,1000
Smokewagon Rare and Limited The 1st 10 #1,791,700,900
Smokewagon Rare and Limited The 1st 10 #3,1000,1000,1000
Smokewagon Rare and Limited The 1st 10 #4,758,715,800
Smokewagon Rare and Limited The 1st 10 #5,900,900,900
Smokewagon Rare and Limited The 1st 10 #6,867,600,1300
Smokewagon Rare and Limited The 1st 10 #9,725,700,750
Smokewagon Rare and Limited The Only 5 Yr.,1250,1000,1500
Smokewagon Rare and Limited WC Elevator Batch,656,550,750
Smokewagon Rare and Limited Winter Oak,606,500,750
Smokewagon Red White and Blue,73,60,90
Smokewagon Rye,119,100,150
Smokewagon Small Batch,74,60,95
Smokewagon The 1st 10 #7,800,800,800
Smokewagon Uncut Unfiltered,100,75,125
Smokewagon Uncut the Younger,86,60,110
Smooth Ambler Old Scout,188,175,200
Smooth Ambler Old Scout Rye,75,75,75
Smooth Ambler Single Barrel 14 Year,750,750,750
